split,seed,episode_id,nav_deviation,manipulation_slip,trap_pressure,sensor_uncertainty,latent_mode_shift,clutter,budget,direct_shortcut_nominal_cost,direct_shortcut_true_failure,direct_shortcut_true_recovery,direct_shortcut_true_trap,direct_shortcut_true_damage,direct_shortcut_branch_entropy,robust_margin_route_nominal_cost,robust_margin_route_true_failure,robust_margin_route_true_recovery,robust_margin_route_true_trap,robust_margin_route_true_damage,robust_margin_route_branch_entropy,contingency_branch_nominal_cost,contingency_branch_true_failure,contingency_branch_true_recovery,contingency_branch_true_trap,contingency_branch_true_damage,contingency_branch_branch_entropy,diagnostic_staging_nominal_cost,diagnostic_staging_true_failure,diagnostic_staging_true_recovery,diagnostic_staging_true_trap,diagnostic_staging_true_damage,diagnostic_staging_branch_entropy,reversible_probe_nominal_cost,reversible_probe_true_failure,reversible_probe_true_recovery,reversible_probe_true_trap,reversible_probe_true_damage,reversible_probe_branch_entropy,conservative_backoff_nominal_cost,conservative_backoff_true_failure,conservative_backoff_true_recovery,conservative_backoff_true_trap,conservative_backoff_true_damage,conservative_backoff_branch_entropy,dual_recovery_branch_nominal_cost,dual_recovery_branch_true_failure,dual_recovery_branch_true_recovery,dual_recovery_branch_true_trap,dual_recovery_branch_true_damage,dual_recovery_branch_branch_entropy
open_easy,0,0,0.09270,0.12215,0.08916,0.07872,0.05802,0.05886,2.43150,1.05528,0.14561,0.22062,0.08937,0.17541,0.05930,1.65250,0.09815,0.48464,0.01387,0.09680,0.21515,1.68257,0.04635,0.78707,0.00100,0.05517,0.61154,1.70496,0.00100,0.88168,0.00100,0.00100,0.61233,1.86856,0.00493,0.89751,0.00100,0.00100,0.66990,2.44627,0.07398,0.69435,0.00100,0.07034,0.39568,2.08976,0.00728,0.95096,0.00100,0.01326,0.89626
open_easy,0,1,0.10096,0.17993,0.05511,0.05932,0.06093,0.06067,2.66944,1.02827,0.16414,0.20675,0.06976,0.17261,0.05822,1.59715,0.09175,0.49827,0.00100,0.06341,0.18369,1.76278,0.06552,0.76503,0.00100,0.08102,0.49247,1.64000,0.00366,0.92543,0.00100,0.00100,0.60748,1.84779,0.02017,0.91149,0.00100,0.00100,0.71151,2.51965,0.05956,0.72179,0.00100,0.04131,0.35288,2.05861,0.00877,0.99900,0.00100,0.00704,0.93352
open_easy,0,2,0.09485,0.15346,0.11356,0.08960,0.05254,0.03775,2.48218,0.97214,0.15222,0.22073,0.10116,0.18925,0.07523,1.63504,0.09702,0.47552,0.01014,0.09696,0.21366,1.74050,0.05357,0.74886,0.00100,0.06387,0.42936,1.65840,0.01139,0.86574,0.00100,0.00100,0.53828,1.90680,0.00789,0.93219,0.00100,0.00100,0.78916,2.45811,0.07405,0.65494,0.00100,0.06592,0.24957,2.03789,0.00737,0.95960,0.00100,0.00647,0.79623
open_easy,0,3,0.08966,0.15877,0.01598,0.04577,0.01000,0.10486,2.63527,1.02509,0.15274,0.19075,0.03014,0.16955,0.02279,1.60844,0.09521,0.50781,0.00100,0.08152,0.18552,1.78009,0.05932,0.76598,0.00100,0.07744,0.55747,1.67416,0.00316,0.84903,0.00100,0.00100,0.52222,1.81433,0.00784,0.88877,0.00100,0.00100,0.68256,2.39264,0.06667,0.69688,0.00100,0.05800,0.28794,2.16796,0.02091,0.94857,0.00100,0.02672,0.91591
open_easy,0,4,0.05148,0.08863,0.06965,0.09660,0.01370,0.06107,2.50993,0.99542,0.11503,0.21074,0.06835,0.15879,0.04949,1.59075,0.07811,0.49929,0.00100,0.07963,0.19268,1.84478,0.03058,0.78448,0.00100,0.05377,0.57626,1.79623,0.00100,0.86435,0.00100,0.00100,0.54600,1.95278,0.00100,0.89107,0.00100,0.00100,0.67385,2.40958,0.04647,0.66964,0.00100,0.03344,0.29160,2.09066,0.00100,0.92854,0.00100,0.01419,0.83674
open_easy,0,5,0.10560,0.16733,0.04204,0.02410,0.05862,0.06385,2.56251,1.05261,0.16407,0.20103,0.05746,0.17686,0.01000,1.56337,0.08837,0.52163,0.00100,0.05901,0.20603,1.77621,0.05801,0.80890,0.00100,0.06517,0.60424,1.69528,0.00277,0.93657,0.00100,0.00100,0.63197,1.98835,0.01738,0.91193,0.00100,0.00100,0.72153,2.33954,0.06045,0.71568,0.00100,0.04287,0.38451,2.05923,0.01641,0.95681,0.00100,0.01097,0.81539
open_easy,0,6,0.11919,0.13959,0.10774,0.08909,0.04351,0.08161,2.55033,0.93708,0.15233,0.19937,0.10237,0.17041,0.04736,1.70987,0.08942,0.48761,0.00708,0.06580,0.20352,1.82110,0.06063,0.77897,0.00100,0.07078,0.54547,1.55021,0.00449,0.86788,0.00100,0.00100,0.56044,1.82181,0.01830,0.88779,0.00100,0.00100,0.70263,2.43601,0.06602,0.67517,0.00100,0.03924,0.23132,2.08253,0.01408,0.95269,0.00100,0.01123,0.85483
open_easy,0,7,0.10916,0.20301,0.06556,0.10579,0.07781,0.08905,2.60761,1.02419,0.16880,0.27431,0.06460,0.16658,0.13777,1.65416,0.10655,0.46748,0.01110,0.08751,0.22197,1.83533,0.06609,0.77289,0.00100,0.06352,0.50708,1.75003,0.01326,0.92225,0.00100,0.00100,0.64358,1.98030,0.01422,0.93434,0.00100,0.00100,0.78864,2.46566,0.07349,0.70704,0.00100,0.04659,0.39871,2.02597,0.02616,0.95414,0.00100,0.02695,0.82871
open_easy,0,8,0.12486,0.08827,0.04818,0.06265,0.04776,0.04646,2.47115,1.05961,0.14413,0.19930,0.06032,0.15300,0.01177,1.62921,0.09170,0.52716,0.00124,0.07852,0.17840,1.66542,0.04755,0.78878,0.00100,0.05751,0.55760,1.71476,0.00100,0.90007,0.00100,0.00100,0.60902,1.85322,0.00155,0.92808,0.00100,0.00100,0.75408,2.40062,0.06256,0.71472,0.00100,0.03631,0.41748,1.97032,0.00294,0.98075,0.00100,0.00100,0.89381
open_easy,0,9,0.06798,0.18368,0.07105,0.07257,0.06266,0.15562,2.61485,1.04628,0.15448,0.21554,0.07928,0.17627,0.08302,1.63039,0.10495,0.45616,0.01439,0.09303,0.16775,1.75000,0.06226,0.76160,0.00100,0.07713,0.51042,1.66915,0.00100,0.89914,0.00100,0.00100,0.67122,1.75351,0.01378,0.91053,0.00100,0.00100,0.70517,2.45882,0.06846,0.70322,0.00100,0.05218,0.42911,2.08987,0.01017,0.96722,0.00100,0.00505,0.87156
