split,seed,episode_id,method,plan_type,goal_success,deviation,recovered,irreversible_failure,damage,budget_overrun,total_cost,recovery_attempts,calibration_error,failure_label,predicted_failure,predicted_recovery,predicted_trap,predicted_damage,nav_deviation,manipulation_slip,trap_pressure,sensor_uncertainty,budget
open_easy,0,0,nominal_shortest_plan,direct_shortcut,1,0,0,0,0,0,1.01661,0,0.40288,success,0.12809,0.20613,0.15888,0.14232,0.04395,0.15692,0.11056,0.07311,2.61230
open_easy,0,0,risk_averse_plan,diagnostic_staging,1,0,0,0,0,0,1.64353,0,0.02662,success,0.01915,0.65452,0.01000,0.01000,0.04395,0.15692,0.11056,0.07311,2.61230
open_easy,0,0,expected_cost_replanner,direct_shortcut,1,0,0,0,0,0,1.01661,0,0.40288,success,0.12809,0.20613,0.15888,0.14232,0.04395,0.15692,0.11056,0.07311,2.61230
open_easy,0,0,robust_margin_planner,robust_margin_route,1,0,0,0,0,0,1.67925,0,0.12075,success,0.11559,0.38439,0.03959,0.01000,0.04395,0.15692,0.11056,0.07311,2.61230
open_easy,0,0,contingent_replanner,contingency_branch,1,0,0,0,0,0,1.76184,0,0.07090,success,0.01000,0.92899,0.01000,0.06019,0.04395,0.15692,0.11056,0.07311,2.61230
open_easy,0,0,learned_failure_classifier,diagnostic_staging,1,0,0,0,0,0,1.64353,0,0.02662,success,0.01915,0.65452,0.01000,0.01000,0.04395,0.15692,0.11056,0.07311,2.61230
open_easy,0,0,recoverability_score_planner,diagnostic_staging,1,0,0,0,0,0,1.64353,0,0.02662,success,0.01915,0.65452,0.01000,0.01000,0.04395,0.15692,0.11056,0.07311,2.61230
open_easy,0,0,oracle_recoverability_upper_bound,diagnostic_staging,1,0,0,0,0,0,1.64353,0,0.02662,success,0.01915,0.65452,0.01000,0.01000,0.04395,0.15692,0.11056,0.07311,2.61230
open_easy,0,1,nominal_shortest_plan,direct_shortcut,1,0,0,0,0,0,1.00056,0,0.22838,success,0.01000,0.22385,0.08874,0.13188,0.13479,0.08330,0.01000,0.05579,2.51953
open_easy,0,1,risk_averse_plan,diagnostic_staging,1,0,0,0,0,0,1.63582,0,0.08834,success,0.01000,0.88451,0.01000,0.07719,0.13479,0.08330,0.01000,0.05579,2.51953
open_easy,0,1,expected_cost_replanner,direct_shortcut,1,0,0,0,0,0,1.00056,0,0.22838,success,0.01000,0.22385,0.08874,0.13188,0.13479,0.08330,0.01000,0.05579,2.51953
open_easy,0,1,robust_margin_planner,conservative_backoff,1,0,0,0,0,0,2.35176,0,0.28210,success,0.04530,0.61842,0.04297,0.22184,0.13479,0.08330,0.01000,0.05579,2.51953
open_easy,0,1,contingent_replanner,diagnostic_staging,1,0,0,0,0,0,1.63582,0,0.08834,success,0.01000,0.88451,0.01000,0.07719,0.13479,0.08330,0.01000,0.05579,2.51953
open_easy,0,1,learned_failure_classifier,diagnostic_staging,1,0,0,0,0,0,1.63582,0,0.08834,success,0.01000,0.88451,0.01000,0.07719,0.13479,0.08330,0.01000,0.05579,2.51953
open_easy,0,1,recoverability_score_planner,diagnostic_staging,1,0,0,0,0,0,1.63582,0,0.08834,success,0.01000,0.88451,0.01000,0.07719,0.13479,0.08330,0.01000,0.05579,2.51953
open_easy,0,1,oracle_recoverability_upper_bound,diagnostic_staging,1,0,0,0,0,0,1.63582,0,0.08834,success,0.01000,0.88451,0.01000,0.07719,0.13479,0.08330,0.01000,0.05579,2.51953
open_easy,0,2,nominal_shortest_plan,direct_shortcut,1,0,0,0,0,0,1.04352,0,0.32449,success,0.26207,0.22122,0.09716,0.02325,0.10296,0.09020,0.07642,0.04747,2.64640
open_easy,0,2,risk_averse_plan,diagnostic_staging,1,0,0,0,0,0,1.77211,0,0.13527,success,0.04117,0.81651,0.01000,0.11772,0.10296,0.09020,0.07642,0.04747,2.64640
open_easy,0,2,expected_cost_replanner,direct_shortcut,1,0,0,0,0,0,1.04352,0,0.32449,success,0.26207,0.22122,0.09716,0.02325,0.10296,0.09020,0.07642,0.04747,2.64640
open_easy,0,2,robust_margin_planner,conservative_backoff,1,0,0,0,0,0,2.40397,0,0.11652,success,0.01000,0.65421,0.10307,0.01000,0.10296,0.09020,0.07642,0.04747,2.64640
open_easy,0,2,contingent_replanner,diagnostic_staging,1,0,0,0,0,0,1.77211,0,0.13527,success,0.04117,0.81651,0.01000,0.11772,0.10296,0.09020,0.07642,0.04747,2.64640
open_easy,0,2,learned_failure_classifier,diagnostic_staging,1,0,0,0,0,0,1.77211,0,0.13527,success,0.04117,0.81651,0.01000,0.11772,0.10296,0.09020,0.07642,0.04747,2.64640
open_easy,0,2,recoverability_score_planner,diagnostic_staging,1,0,0,0,0,0,1.77211,0,0.13527,success,0.04117,0.81651,0.01000,0.11772,0.10296,0.09020,0.07642,0.04747,2.64640
open_easy,0,2,oracle_recoverability_upper_bound,diagnostic_staging,1,0,0,0,0,0,1.77211,0,0.13527,success,0.04117,0.81651,0.01000,0.11772,0.10296,0.09020,0.07642,0.04747,2.64640
open_easy,0,3,nominal_shortest_plan,direct_shortcut,1,0,0,0,0,0,1.03850,0,0.43574,success,0.24621,0.35924,0.01000,0.26797,0.07481,0.09294,0.01000,0.07036,2.44043
open_easy,0,3,risk_averse_plan,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02040,success,0.02733,0.98549,0.01000,0.01000,0.07481,0.09294,0.01000,0.07036,2.44043
open_easy,0,3,expected_cost_replanner,direct_shortcut,1,0,0,0,0,0,1.03850,0,0.43574,success,0.24621,0.35924,0.01000,0.26797,0.07481,0.09294,0.01000,0.07036,2.44043
open_easy,0,3,robust_margin_planner,conservative_backoff,1,0,0,0,0,0,2.42667,0,0.26410,success,0.09081,0.66151,0.01000,0.22336,0.07481,0.09294,0.01000,0.07036,2.44043
open_easy,0,3,contingent_replanner,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02040,success,0.02733,0.98549,0.01000,0.01000,0.07481,0.09294,0.01000,0.07036,2.44043
open_easy,0,3,learned_failure_classifier,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02040,success,0.02733,0.98549,0.01000,0.01000,0.07481,0.09294,0.01000,0.07036,2.44043
open_easy,0,3,recoverability_score_planner,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02040,success,0.02733,0.98549,0.01000,0.01000,0.07481,0.09294,0.01000,0.07036,2.44043
open_easy,0,3,oracle_recoverability_upper_bound,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02040,success,0.02733,0.98549,0.01000,0.01000,0.07481,0.09294,0.01000,0.07036,2.44043
open_easy,0,4,nominal_shortest_plan,direct_shortcut,1,0,0,0,0,0,1.01571,0,0.32719,success,0.07520,0.28891,0.08645,0.18727,0.11649,0.10192,0.07089,0.08876,2.53560
open_easy,0,4,risk_averse_plan,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02010,success,0.01000,0.99000,0.01000,0.01000,0.11649,0.10192,0.07089,0.08876,2.53560
open_easy,0,4,expected_cost_replanner,direct_shortcut,1,0,0,0,0,0,1.01571,0,0.32719,success,0.07520,0.28891,0.08645,0.18727,0.11649,0.10192,0.07089,0.08876,2.53560
open_easy,0,4,robust_margin_planner,conservative_backoff,1,0,0,0,0,0,2.41238,0,0.02225,success,0.01000,0.77517,0.01000,0.01000,0.11649,0.10192,0.07089,0.08876,2.53560
open_easy,0,4,contingent_replanner,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02010,success,0.01000,0.99000,0.01000,0.01000,0.11649,0.10192,0.07089,0.08876,2.53560
open_easy,0,4,learned_failure_classifier,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02010,success,0.01000,0.99000,0.01000,0.01000,0.11649,0.10192,0.07089,0.08876,2.53560
open_easy,0,4,recoverability_score_planner,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02010,success,0.01000,0.99000,0.01000,0.01000,0.11649,0.10192,0.07089,0.08876,2.53560
open_easy,0,4,oracle_recoverability_upper_bound,diagnostic_staging,1,0,0,0,0,0,1.66017,0,0.02010,success,0.01000,0.99000,0.01000,0.01000,0.11649,0.10192,0.07089,0.08876,2.53560
open_easy,0,5,nominal_shortest_plan,direct_shortcut,1,0,0,0,0,0,1.01016,0,0.08904,success,0.01000,0.21114,0.06054,0.02061,0.10534,0.07077,0.02011,0.08408,2.44544
open_easy,0,5,risk_averse_plan,direct_shortcut,1,0,0,0,0,0,1.01016,0,0.08904,success,0.01000,0.21114,0.06054,0.02061,0.10534,0.07077,0.02011,0.08408,2.44544
open_easy,0,5,expected_cost_replanner,direct_shortcut,1,0,0,0,0,0,1.01016,0,0.08904,success,0.01000,0.21114,0.06054,0.02061,0.10534,0.07077,0.02011,0.08408,2.44544
open_easy,0,5,robust_margin_planner,conservative_backoff,0,0,0,0,0,1,2.45271,0,0.89057,budget_overrun,0.06196,0.86013,0.01000,0.09077,0.10534,0.07077,0.02011,0.08408,2.44544
open_easy,0,5,contingent_replanner,diagnostic_staging,1,0,0,0,0,0,1.70553,0,0.08230,success,0.18131,0.95861,0.01000,0.06480,0.10534,0.07077,0.02011,0.08408,2.44544
open_easy,0,5,learned_failure_classifier,diagnostic_staging,1,0,0,0,0,0,1.70553,0,0.08230,success,0.18131,0.95861,0.01000,0.06480,0.10534,0.07077,0.02011,0.08408,2.44544
open_easy,0,5,recoverability_score_planner,diagnostic_staging,1,0,0,0,0,0,1.70553,0,0.08230,success,0.18131,0.95861,0.01000,0.06480,0.10534,0.07077,0.02011,0.08408,2.44544
open_easy,0,5,oracle_recoverability_upper_bound,diagnostic_staging,1,0,0,0,0,0,1.70553,0,0.08230,success,0.18131,0.95861,0.01000,0.06480,0.10534,0.07077,0.02011,0.08408,2.44544
open_easy,0,6,nominal_shortest_plan,direct_shortcut,1,0,0,0,0,0,1.08748,0,0.20203,success,0.01000,0.45338,0.11980,0.07676,0.12277,0.08407,0.02582,0.05332,2.45895
open_easy,0,6,risk_averse_plan,diagnostic_staging,1,0,0,0,0,0,1.68629,0,0.13185,success,0.01000,0.94861,0.05875,0.07259,0.12277,0.08407,0.02582,0.05332,2.45895
open_easy,0,6,expected_cost_replanner,direct_shortcut,1,0,0,0,0,0,1.08748,0,0.20203,success,0.01000,0.45338,0.11980,0.07676,0.12277,0.08407,0.02582,0.05332,2.45895
