rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2512.00022v1,XFlowMP: Task-Conditioned Motion Fields for Generative Robot Planning with Schrodinger Bridges,2025,arXiv,http://arxiv.org/abs/2512.00022v1,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1177/0278364918761570,An incremental constraint-based framework for task and motion planning,2018,The International Journal of Robotics Research,https://doi.org/10.1177/0278364918761570,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1609/icaps.v34i1.31468,Combined Task and Motion Planning via Sketch Decompositions,2024,Proceedings of the International Conference on Automated Planning and Scheduling,https://doi.org/10.1609/icaps.v34i1.31468,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1177/02783649211038280,"Representation, learning, and planning algorithms for geometric task and motion planning",2022,The International Journal of Robotics Research,https://doi.org/10.1177/02783649211038280,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2001.08398v1,Socially intelligent task and motion planning for human-robot interaction,2020,arXiv,http://arxiv.org/abs/2001.08398v1,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:1811.08955v1,Integrating Task-Motion Planning with Reinforcement Learning for Robust Decision Making in Mobile Robots,2018,arXiv,http://arxiv.org/abs/1811.08955v1,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.3390/app10051665,Contingent Task and Motion Planning under Uncertainty for Human–Robot Interactions,2020,Applied Sciences,https://doi.org/10.3390/app10051665,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,2025,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2025.ast27134,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:2510.26139v2,Kinodynamic Task and Motion Planning using VLM-guided and Interleaved Sampling,2025,arXiv,http://arxiv.org/abs/2510.26139v2,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1609/aaai.v39i25.34874,Temporal Task and Motion Planning with Metric Time for Multiple Object Navigation,2025,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v39i25.34874,Addresses task and motion planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Planner recoverability scores keeps action-critical alternatives explicit until a physical observation collapses them.
